文件名,文件格式,聚类标签,清洗后文本特征
D0002.txt,.txt,2,名称 卫生 总费用 编号 时间
D0003.txt,.txt,1,名称 网上 零售额 编号 时间
D0004.docx,.docx,2,年度 总体 完成 年度 重点 任务 基本 按期 专项 日常 之间 衔接 以往 更加 顺畅 部门 内部 沟通 机制 跨部门 协作 机制 有所改进 与此同时 看到 任务 响应速度 数据 口径 一致性 典型 成果 总结 方面 提升 空间 重点 成效 业务 效果 部门 重点 任务 落实 材料 准备 完整性 问题 响应 效率 方面 年度 有所 提升 尤其 跨部门 协作 环节 责任 界面 更为 清晰 问题 处理 链条 更为 顺畅 存在 不足 当前 存在 方面 不足 一是 部分 依赖 经验 推动 制度化 模板 程度 不够 二是 部分 过程 材料 虽然 形成 分类 命名 标准 统一 影响 后续 检索 复核 三是 成果 总结 停留 事实 罗列 缺少 问题 成因 改进 路径 深入分析 上述 问题 表明 后续 进一步 强化 标准 意识 流程 意识 复盘 意识 年度 考虑 年度 重点 围绕 三个 方向 展开 其一 继续 完善 过程 留痕 资料 归档 规则 推动 日常 更加 规范化 其二 围绕 重点 任务 建立 细化 进度 预警 反馈 机制 提升 异常情况 响应 能力 其三 加强 总结 提炼 经验 共享 阶段性 做法 沉淀 复制 推广 机制 上述 措施 进一步 提升 部门 运行 质量 整体 协同 水平
D0005.txt,.txt,2,名称 国际 旅游 外汇 收入 编号 时间
D0006.txt,.txt,2,名称 商品 零售价格 分类 指数 编号 时间
D0008.txt,.txt,1,名称 客运量 编号 时间
D0009.txt,.txt,5,名称 居民 人均 支配 收入 编号 时间
D0010.txt,.txt,2,名称 主要 农业机械 拥有量 年底 编号 时间
D0012.txt,.txt,2,名称 全部 地级 城市 编号 时间
D0013.txt,.txt,0,名称 开支 五等 分位 商品 服务 分类 统计 每户 双周 平均 消费 开支 编号 时间
D0015.txt,.txt,3,名称 本地 居民 总收入 编号 时间
D0017.txt,.txt,2,名称 全国 国有资本 经营收入 决算表 编号 时间
D0018.txt,.txt,2,名称 城乡 医疗卫生 机构 床位数 编号 时间
D0029.txt,.txt,2,名称 科学研究 开发 机构 基本 编号 时间
D0032.txt,.txt,1,名称 河流 流域面积 编号 时间
D0036.txt,.txt,2,名称 互联网 主要 指标 年底 编号 时间
D0040.txt,.txt,2,名称 三次 产业 机构 类型 法人 编号 时间
D0041.txt,.txt,2,名称 居民消费 价格指数 商品 零售价格 指数 编号 时间
D0042.txt,.txt,2,名称 主要 国别 对外 直接 投资 编号 时间
D0043.txt,.txt,2,名称 房地产 开发 成套 住宅 竣工 销售 编号 时间
D0046.txt,.txt,3,名称 平均 万元 国内 生产总值 能源 消费量 编号 时间
D0050.txt,.txt,1,名称 城镇职工 基本 养老保险 编号 时间
D0057.txt,.txt,1,名称 旅客 周转量 编号 时间
